n_accum,lr,eff_lr,livebn_mean,livebn_std
4,0.01,0.04,61.3,7.54
4,0.003,0.012,76.11,5.85
4,0.001,0.004,77.41,3.61
4,0.0003,0.0012,79.63,4.1
