n_accum,lr,eff_lr,livebn_mean,livebn_std
16,0.01,0.16,58.33,7.09
16,0.003,0.048,72.78,4.19
16,0.001,0.016,75.56,2.42
16,0.0003,0.0048,79.26,4.49
