subject,condition,base_model,test_session,model_to_fine_tune_name,zero_shot_test_batch,num_prev_ft_rounds,balanced_acc_no_ft,zero_shot_balanced_acc,new_model_name
S01,vocalized,leave_one_session_out_fold_3.pt,3,leave_one_session_out_fold_3.pt,1,0,80.5556,80.5556,fold_3_ft_1.pt
S01,vocalized,leave_one_session_out_fold_3.pt,3,fold_3_ft_1.pt,2,1,81.6667,90.5556,fold_3_ft_2.pt
S01,vocalized,leave_one_session_out_fold_3.pt,3,fold_3_ft_2.pt,3,2,76.6667,80.5556,fold_3_ft_3.pt
S01,vocalized,leave_one_session_out_fold_3.pt,3,fold_3_ft_3.pt,4,3,87.7778,88.8889,fold_3_ft_4.pt
S01,vocalized,leave_one_session_out_fold_3.pt,3,fold_3_ft_4.pt,5,4,76.1111,81.6667,fold_3_ft_5.pt
