batch,no_ft_mean,no_ft_std,ft_mean,ft_std
1,72.59,8.36,72.59,8.36
2,74.63,6.32,86.67,3.38
3,77.04,9.45,84.81,7.88
4,77.96,13.77,87.41,6.24
5,65.56,10.05,80.93,1.4
