n_accum,lr,eff_lr,livebn_mean,livebn_std
32,0.01,0.32,48.7,6.58
32,0.003,0.096,65.19,1.4
32,0.001,0.032,75.74,5.28
32,0.0003,0.0096,77.41,5.01
