n_accum,lr,eff_lr,livebn_mean,livebn_std
8,0.01,0.08,59.63,13.34
8,0.003,0.024,69.44,11.88
8,0.001,0.008,77.04,5.04
8,0.0003,0.0024,80.0,3.33
