subject,fold,batch,pretrained,streaming,transductive
S02,1,2,33.89,48.89,50.56
S02,1,3,33.33,48.33,45.56
S02,1,4,26.11,35.0,38.89
S02,1,5,30.0,36.67,41.11
S02,2,2,67.78,65.56,68.33
S02,2,3,65.56,67.78,72.78
S02,2,4,75.56,72.78,75.56
S02,2,5,68.89,66.67,70.56
S02,3,2,77.22,81.67,81.11
S02,3,3,71.11,77.78,77.22
S02,3,4,66.11,71.67,69.44
S02,3,5,55.56,66.67,72.78
