fold,batch,seed,acc,subject,K
1,2,0,43.33333333333333,S02,2
1,2,1,38.33333333333333,S02,2
1,2,2,49.44444444444444,S02,2
1,2,3,29.44444444444445,S02,2
1,2,4,15.555555555555555,S02,2
1,2,5,30.000000000000004,S02,2
1,2,6,43.333333333333336,S02,2
1,2,7,42.22222222222222,S02,2
1,3,0,28.888888888888893,S02,2
1,3,1,31.11111111111111,S02,2
1,3,2,30.555555555555557,S02,2
1,3,3,32.22222222222222,S02,2
1,3,4,36.11111111111111,S02,2
1,3,5,35.0,S02,2
1,3,6,36.666666666666664,S02,2
1,3,7,31.66666666666667,S02,2
1,4,0,25.555555555555554,S02,2
1,4,1,20.555555555555557,S02,2
1,4,2,26.111111111111107,S02,2
1,4,3,32.77777777777777,S02,2
1,4,4,35.0,S02,2
1,4,5,23.888888888888886,S02,2
1,4,6,28.33333333333334,S02,2
1,4,7,35.555555555555564,S02,2
1,5,0,27.22222222222222,S02,2
1,5,1,28.888888888888893,S02,2
1,5,2,33.33333333333333,S02,2
1,5,3,25.0,S02,2
1,5,4,37.77777777777778,S02,2
1,5,5,34.444444444444436,S02,2
1,5,6,26.666666666666668,S02,2
1,5,7,37.77777777777778,S02,2
2,2,0,46.111111111111114,S02,2
2,2,1,63.888888888888886,S02,2
2,2,2,43.333333333333336,S02,2
2,2,3,29.44444444444444,S02,2
2,2,4,50.0,S02,2
2,2,5,56.66666666666668,S02,2
2,2,6,53.333333333333336,S02,2
2,2,7,47.777777777777786,S02,2
2,3,0,55.55555555555556,S02,2
2,3,1,57.777777777777786,S02,2
2,3,2,61.111111111111114,S02,2
2,3,3,62.77777777777778,S02,2
2,3,4,43.888888888888886,S02,2
2,3,5,61.66666666666667,S02,2
2,3,6,62.22222222222222,S02,2
2,3,7,41.111111111111114,S02,2
2,4,0,42.77777777777778,S02,2
2,4,1,56.11111111111112,S02,2
2,4,2,73.88888888888889,S02,2
2,4,3,51.11111111111112,S02,2
2,4,4,63.33333333333333,S02,2
2,4,5,42.22222222222222,S02,2
2,4,6,48.33333333333333,S02,2
2,4,7,48.33333333333334,S02,2
2,5,0,53.33333333333332,S02,2
2,5,1,49.44444444444444,S02,2
2,5,2,57.22222222222223,S02,2
2,5,3,55.55555555555556,S02,2
2,5,4,34.44444444444444,S02,2
2,5,5,53.33333333333334,S02,2
2,5,6,49.44444444444444,S02,2
2,5,7,52.77777777777778,S02,2
3,2,0,45.55555555555555,S02,2
3,2,1,47.77777777777777,S02,2
3,2,2,49.44444444444444,S02,2
3,2,3,48.33333333333334,S02,2
3,2,4,68.33333333333333,S02,2
3,2,5,56.666666666666664,S02,2
3,2,6,56.66666666666668,S02,2
3,2,7,49.44444444444444,S02,2
3,3,0,43.888888888888886,S02,2
3,3,1,52.22222222222223,S02,2
3,3,2,77.77777777777779,S02,2
3,3,3,61.111111111111114,S02,2
3,3,4,52.22222222222223,S02,2
3,3,5,64.99999999999999,S02,2
3,3,6,57.22222222222223,S02,2
3,3,7,45.00000000000001,S02,2
3,4,0,33.888888888888886,S02,2
3,4,1,55.55555555555556,S02,2
3,4,2,50.0,S02,2
3,4,3,51.66666666666667,S02,2
3,4,4,42.22222222222222,S02,2
3,4,5,48.33333333333334,S02,2
3,4,6,65.0,S02,2
3,4,7,61.11111111111111,S02,2
3,5,0,48.88888888888889,S02,2
3,5,1,48.88888888888889,S02,2
3,5,2,51.66666666666667,S02,2
3,5,3,47.22222222222222,S02,2
3,5,4,40.0,S02,2
3,5,5,60.00000000000001,S02,2
3,5,6,62.22222222222222,S02,2
3,5,7,37.22222222222222,S02,2
