fold,batch,seed,acc,subject,K
1,2,0,50.55555555555556,S02,64
1,2,1,53.333333333333336,S02,64
1,2,2,50.0,S02,64
1,2,3,52.77777777777778,S02,64
1,2,4,49.999999999999986,S02,64
1,2,5,50.55555555555556,S02,64
1,2,6,48.88888888888889,S02,64
1,2,7,50.0,S02,64
1,3,0,46.1111111111111,S02,64
1,3,1,45.55555555555556,S02,64
1,3,2,47.22222222222222,S02,64
1,3,3,47.22222222222222,S02,64
1,3,4,46.666666666666664,S02,64
1,3,5,46.111111111111114,S02,64
1,3,6,45.55555555555555,S02,64
1,3,7,48.33333333333333,S02,64
1,4,0,35.0,S02,64
1,4,1,38.333333333333336,S02,64
1,4,2,38.88888888888889,S02,64
1,4,3,34.44444444444444,S02,64
1,4,4,33.33333333333333,S02,64
1,4,5,38.88888888888889,S02,64
1,4,6,35.0,S02,64
1,4,7,35.55555555555555,S02,64
1,5,0,40.0,S02,64
1,5,1,42.22222222222222,S02,64
1,5,2,40.555555555555564,S02,64
1,5,3,37.22222222222223,S02,64
1,5,4,38.333333333333336,S02,64
1,5,5,38.333333333333336,S02,64
1,5,6,40.555555555555564,S02,64
1,5,7,38.88888888888889,S02,64
2,2,0,66.11111111111111,S02,64
2,2,1,67.77777777777779,S02,64
2,2,2,68.88888888888889,S02,64
2,2,3,68.88888888888889,S02,64
2,2,4,67.77777777777777,S02,64
2,2,5,69.44444444444446,S02,64
2,2,6,67.77777777777779,S02,64
2,2,7,67.22222222222221,S02,64
2,3,0,72.22222222222221,S02,64
2,3,1,71.66666666666667,S02,64
2,3,2,70.55555555555554,S02,64
2,3,3,72.77777777777777,S02,64
2,3,4,71.11111111111111,S02,64
2,3,5,71.66666666666666,S02,64
2,3,6,71.66666666666666,S02,64
2,3,7,70.55555555555554,S02,64
2,4,0,76.11111111111111,S02,64
2,4,1,73.33333333333334,S02,64
2,4,2,75.55555555555556,S02,64
2,4,3,76.11111111111111,S02,64
2,4,4,73.88888888888889,S02,64
2,4,5,74.44444444444444,S02,64
2,4,6,76.66666666666666,S02,64
2,4,7,76.11111111111111,S02,64
2,5,0,70.0,S02,64
2,5,1,71.66666666666667,S02,64
2,5,2,70.0,S02,64
2,5,3,70.0,S02,64
2,5,4,63.33333333333333,S02,64
2,5,5,69.44444444444444,S02,64
2,5,6,68.33333333333333,S02,64
2,5,7,70.0,S02,64
3,2,0,81.66666666666667,S02,64
3,2,1,81.66666666666667,S02,64
3,2,2,80.0,S02,64
3,2,3,81.11111111111113,S02,64
3,2,4,82.7777777777778,S02,64
3,2,5,82.77777777777779,S02,64
3,2,6,83.33333333333334,S02,64
3,2,7,81.66666666666667,S02,64
3,3,0,79.44444444444446,S02,64
3,3,1,81.11111111111111,S02,64
3,3,2,78.33333333333333,S02,64
3,3,3,77.77777777777777,S02,64
3,3,4,78.33333333333333,S02,64
3,3,5,77.77777777777777,S02,64
3,3,6,77.77777777777779,S02,64
3,3,7,80.55555555555556,S02,64
3,4,0,73.88888888888889,S02,64
3,4,1,71.1111111111111,S02,64
3,4,2,69.44444444444444,S02,64
3,4,3,72.22222222222221,S02,64
3,4,4,71.1111111111111,S02,64
3,4,5,70.55555555555554,S02,64
3,4,6,70.55555555555556,S02,64
3,4,7,72.22222222222221,S02,64
3,5,0,71.66666666666667,S02,64
3,5,1,71.66666666666667,S02,64
3,5,2,71.1111111111111,S02,64
3,5,3,71.1111111111111,S02,64
3,5,4,72.22222222222221,S02,64
3,5,5,72.22222222222221,S02,64
3,5,6,72.22222222222221,S02,64
3,5,7,71.66666666666667,S02,64
