fold,batch,seed,acc,subject,K
1,2,0,64.44444444444444,S01,10
1,2,1,85.00000000000001,S01,10
1,2,2,83.33333333333334,S01,10
1,2,3,87.22222222222223,S01,10
1,2,4,76.11111111111111,S01,10
1,2,5,83.33333333333334,S01,10
1,2,6,82.77777777777779,S01,10
1,2,7,88.33333333333333,S01,10
1,3,0,92.77777777777777,S01,10
1,3,1,91.1111111111111,S01,10
1,3,2,86.66666666666667,S01,10
1,3,3,84.44444444444446,S01,10
1,3,4,92.77777777777777,S01,10
1,3,5,87.77777777777777,S01,10
1,3,6,81.66666666666667,S01,10
1,3,7,87.22222222222223,S01,10
1,4,0,82.77777777777777,S01,10
1,4,1,84.44444444444444,S01,10
1,4,2,86.11111111111111,S01,10
1,4,3,92.77777777777777,S01,10
1,4,4,83.88888888888889,S01,10
1,4,5,91.1111111111111,S01,10
1,4,6,80.0,S01,10
1,4,7,87.22222222222223,S01,10
1,5,0,68.88888888888889,S01,10
1,5,1,77.22222222222223,S01,10
1,5,2,80.0,S01,10
1,5,3,85.00000000000001,S01,10
1,5,4,73.33333333333333,S01,10
1,5,5,76.66666666666667,S01,10
1,5,6,75.0,S01,10
1,5,7,75.55555555555556,S01,10
2,2,0,78.33333333333333,S01,10
2,2,1,67.22222222222221,S01,10
2,2,2,79.44444444444446,S01,10
2,2,3,81.11111111111113,S01,10
2,2,4,79.44444444444446,S01,10
2,2,5,70.55555555555556,S01,10
2,2,6,79.44444444444446,S01,10
2,2,7,78.33333333333333,S01,10
2,3,0,75.55555555555557,S01,10
2,3,1,78.88888888888889,S01,10
2,3,2,78.33333333333333,S01,10
2,3,3,81.66666666666667,S01,10
2,3,4,70.55555555555554,S01,10
2,3,5,78.8888888888889,S01,10
2,3,6,83.33333333333334,S01,10
2,3,7,72.77777777777777,S01,10
2,4,0,72.77777777777776,S01,10
2,4,1,77.22222222222221,S01,10
2,4,2,78.33333333333334,S01,10
2,4,3,72.22222222222223,S01,10
2,4,4,73.88888888888889,S01,10
2,4,5,76.66666666666667,S01,10
2,4,6,76.11111111111111,S01,10
2,4,7,73.88888888888889,S01,10
2,5,0,71.11111111111111,S01,10
2,5,1,70.55555555555554,S01,10
2,5,2,73.33333333333333,S01,10
2,5,3,75.55555555555557,S01,10
2,5,4,67.22222222222223,S01,10
2,5,5,68.33333333333333,S01,10
2,5,6,76.11111111111111,S01,10
2,5,7,72.77777777777777,S01,10
3,2,0,82.77777777777779,S01,10
3,2,1,85.55555555555556,S01,10
3,2,2,86.11111111111111,S01,10
3,2,3,86.66666666666667,S01,10
3,2,4,82.77777777777777,S01,10
3,2,5,84.44444444444444,S01,10
3,2,6,85.55555555555556,S01,10
3,2,7,86.11111111111111,S01,10
3,3,0,83.8888888888889,S01,10
3,3,1,78.33333333333333,S01,10
3,3,2,85.0,S01,10
3,3,3,83.8888888888889,S01,10
3,3,4,81.66666666666667,S01,10
3,3,5,85.55555555555556,S01,10
3,3,6,83.88888888888889,S01,10
3,3,7,83.8888888888889,S01,10
3,4,0,87.22222222222223,S01,10
3,4,1,85.55555555555556,S01,10
3,4,2,87.22222222222223,S01,10
3,4,3,82.22222222222221,S01,10
3,4,4,87.22222222222223,S01,10
3,4,5,86.11111111111111,S01,10
3,4,6,87.77777777777777,S01,10
3,4,7,87.77777777777777,S01,10
3,5,0,80.0,S01,10
3,5,1,84.44444444444446,S01,10
3,5,2,83.33333333333334,S01,10
3,5,3,83.8888888888889,S01,10
3,5,4,84.44444444444446,S01,10
3,5,5,83.88888888888889,S01,10
3,5,6,77.77777777777779,S01,10
3,5,7,71.66666666666666,S01,10
