fold,batch,seed,acc,subject,K
1,2,0,88.88888888888889,S01,180
1,2,1,88.88888888888889,S01,180
1,2,2,88.88888888888889,S01,180
1,2,3,88.88888888888889,S01,180
1,2,4,88.88888888888889,S01,180
1,2,5,88.88888888888889,S01,180
1,2,6,88.88888888888889,S01,180
1,2,7,88.88888888888889,S01,180
1,3,0,93.88888888888887,S01,180
1,3,1,93.88888888888887,S01,180
1,3,2,93.88888888888887,S01,180
1,3,3,93.88888888888887,S01,180
1,3,4,93.88888888888887,S01,180
1,3,5,93.88888888888887,S01,180
1,3,6,93.88888888888887,S01,180
1,3,7,93.88888888888887,S01,180
1,4,0,92.22222222222223,S01,180
1,4,1,92.22222222222223,S01,180
1,4,2,92.22222222222223,S01,180
1,4,3,92.22222222222223,S01,180
1,4,4,92.22222222222223,S01,180
1,4,5,92.22222222222223,S01,180
1,4,6,92.22222222222223,S01,180
1,4,7,92.22222222222223,S01,180
1,5,0,82.22222222222223,S01,180
1,5,1,82.22222222222223,S01,180
1,5,2,82.22222222222223,S01,180
1,5,3,82.22222222222223,S01,180
1,5,4,82.22222222222223,S01,180
1,5,5,82.22222222222223,S01,180
1,5,6,82.22222222222223,S01,180
1,5,7,82.22222222222223,S01,180
2,2,0,79.44444444444446,S01,180
2,2,1,79.44444444444446,S01,180
2,2,2,79.44444444444446,S01,180
2,2,3,79.44444444444446,S01,180
2,2,4,79.44444444444446,S01,180
2,2,5,79.44444444444446,S01,180
2,2,6,79.44444444444446,S01,180
2,2,7,79.44444444444446,S01,180
2,3,0,83.33333333333334,S01,180
2,3,1,83.33333333333334,S01,180
2,3,2,83.33333333333334,S01,180
2,3,3,83.33333333333334,S01,180
2,3,4,83.33333333333334,S01,180
2,3,5,83.33333333333334,S01,180
2,3,6,83.33333333333334,S01,180
2,3,7,83.33333333333334,S01,180
2,4,0,79.44444444444444,S01,180
2,4,1,79.44444444444444,S01,180
2,4,2,79.44444444444444,S01,180
2,4,3,79.44444444444444,S01,180
2,4,4,79.44444444444444,S01,180
2,4,5,79.44444444444444,S01,180
2,4,6,79.44444444444444,S01,180
2,4,7,79.44444444444444,S01,180
2,5,0,74.44444444444444,S01,180
2,5,1,74.44444444444444,S01,180
2,5,2,74.44444444444444,S01,180
2,5,3,74.44444444444444,S01,180
2,5,4,74.44444444444444,S01,180
2,5,5,74.44444444444444,S01,180
2,5,6,74.44444444444444,S01,180
2,5,7,74.44444444444444,S01,180
3,2,0,86.11111111111111,S01,180
3,2,1,86.11111111111111,S01,180
3,2,2,86.11111111111111,S01,180
3,2,3,86.11111111111111,S01,180
3,2,4,86.11111111111111,S01,180
3,2,5,86.11111111111111,S01,180
3,2,6,86.11111111111111,S01,180
3,2,7,86.11111111111111,S01,180
3,3,0,87.22222222222223,S01,180
3,3,1,87.22222222222223,S01,180
3,3,2,87.22222222222223,S01,180
3,3,3,87.22222222222223,S01,180
3,3,4,87.22222222222223,S01,180
3,3,5,87.22222222222223,S01,180
3,3,6,87.22222222222223,S01,180
3,3,7,87.22222222222223,S01,180
3,4,0,90.55555555555554,S01,180
3,4,1,90.55555555555554,S01,180
3,4,2,90.55555555555554,S01,180
3,4,3,90.55555555555554,S01,180
3,4,4,90.55555555555554,S01,180
3,4,5,90.55555555555554,S01,180
3,4,6,90.55555555555554,S01,180
3,4,7,90.55555555555554,S01,180
3,5,0,84.44444444444446,S01,180
3,5,1,84.44444444444446,S01,180
3,5,2,84.44444444444446,S01,180
3,5,3,84.44444444444446,S01,180
3,5,4,84.44444444444446,S01,180
3,5,5,84.44444444444446,S01,180
3,5,6,84.44444444444446,S01,180
3,5,7,84.44444444444446,S01,180
