fold,batch,seed,acc,subject,K
1,2,0,51.66666666666667,S02,90
1,2,1,51.66666666666667,S02,90
1,2,2,48.33333333333333,S02,90
1,2,3,52.22222222222223,S02,90
1,2,4,50.0,S02,90
1,2,5,50.0,S02,90
1,2,6,51.11111111111112,S02,90
1,2,7,50.55555555555556,S02,90
1,3,0,46.111111111111114,S02,90
1,3,1,47.777777777777786,S02,90
1,3,2,46.1111111111111,S02,90
1,3,3,46.111111111111114,S02,90
1,3,4,45.55555555555555,S02,90
1,3,5,46.111111111111114,S02,90
1,3,6,45.55555555555555,S02,90
1,3,7,45.55555555555555,S02,90
1,4,0,37.22222222222222,S02,90
1,4,1,38.33333333333333,S02,90
1,4,2,38.33333333333333,S02,90
1,4,3,37.777777777777786,S02,90
1,4,4,33.88888888888889,S02,90
1,4,5,38.333333333333336,S02,90
1,4,6,35.0,S02,90
1,4,7,36.666666666666664,S02,90
1,5,0,40.555555555555564,S02,90
1,5,1,40.555555555555564,S02,90
1,5,2,41.111111111111114,S02,90
1,5,3,37.22222222222222,S02,90
1,5,4,40.00000000000001,S02,90
1,5,5,38.88888888888889,S02,90
1,5,6,39.44444444444444,S02,90
1,5,7,41.111111111111114,S02,90
2,2,0,66.66666666666666,S02,90
2,2,1,68.88888888888889,S02,90
2,2,2,67.22222222222221,S02,90
2,2,3,68.88888888888889,S02,90
2,2,4,66.66666666666666,S02,90
2,2,5,68.8888888888889,S02,90
2,2,6,69.44444444444444,S02,90
2,2,7,67.22222222222221,S02,90
2,3,0,71.66666666666667,S02,90
2,3,1,72.22222222222221,S02,90
2,3,2,72.77777777777777,S02,90
2,3,3,71.66666666666667,S02,90
2,3,4,71.1111111111111,S02,90
2,3,5,73.33333333333333,S02,90
2,3,6,72.77777777777779,S02,90
2,3,7,71.66666666666666,S02,90
2,4,0,75.0,S02,90
2,4,1,73.88888888888889,S02,90
2,4,2,76.66666666666666,S02,90
2,4,3,75.0,S02,90
2,4,4,74.44444444444444,S02,90
2,4,5,73.88888888888889,S02,90
2,4,6,76.11111111111111,S02,90
2,4,7,74.44444444444443,S02,90
2,5,0,72.22222222222221,S02,90
2,5,1,67.77777777777777,S02,90
2,5,2,70.55555555555554,S02,90
2,5,3,72.77777777777776,S02,90
2,5,4,65.55555555555556,S02,90
2,5,5,70.55555555555556,S02,90
2,5,6,72.22222222222223,S02,90
2,5,7,72.22222222222221,S02,90
3,2,0,78.8888888888889,S02,90
3,2,1,81.66666666666667,S02,90
3,2,2,81.11111111111111,S02,90
3,2,3,80.55555555555557,S02,90
3,2,4,81.66666666666667,S02,90
3,2,5,83.33333333333334,S02,90
3,2,6,80.55555555555557,S02,90
3,2,7,81.66666666666667,S02,90
3,3,0,77.77777777777779,S02,90
3,3,1,77.22222222222221,S02,90
3,3,2,78.33333333333333,S02,90
3,3,3,77.22222222222221,S02,90
3,3,4,77.77777777777779,S02,90
3,3,5,77.77777777777777,S02,90
3,3,6,77.77777777777779,S02,90
3,3,7,78.8888888888889,S02,90
3,4,0,72.77777777777776,S02,90
3,4,1,71.66666666666667,S02,90
3,4,2,70.55555555555556,S02,90
3,4,3,72.22222222222221,S02,90
3,4,4,71.11111111111111,S02,90
3,4,5,70.55555555555554,S02,90
3,4,6,70.0,S02,90
3,4,7,71.11111111111111,S02,90
3,5,0,71.11111111111111,S02,90
3,5,1,72.77777777777777,S02,90
3,5,2,71.1111111111111,S02,90
3,5,3,72.77777777777777,S02,90
3,5,4,70.55555555555556,S02,90
3,5,5,73.33333333333334,S02,90
3,5,6,72.22222222222221,S02,90
3,5,7,72.77777777777777,S02,90
