fold,batch,seed,acc,subject,K
1,2,0,85.00000000000001,S01,64
1,2,1,88.33333333333333,S01,64
1,2,2,88.88888888888889,S01,64
1,2,3,88.88888888888889,S01,64
1,2,4,90.55555555555556,S01,64
1,2,5,88.33333333333333,S01,64
1,2,6,89.99999999999999,S01,64
1,2,7,88.33333333333333,S01,64
1,3,0,93.33333333333333,S01,64
1,3,1,93.88888888888887,S01,64
1,3,2,93.33333333333333,S01,64
1,3,3,92.77777777777777,S01,64
1,3,4,93.33333333333333,S01,64
1,3,5,93.33333333333333,S01,64
1,3,6,91.66666666666666,S01,64
1,3,7,92.77777777777777,S01,64
1,4,0,94.44444444444444,S01,64
1,4,1,90.55555555555556,S01,64
1,4,2,94.44444444444444,S01,64
1,4,3,91.66666666666666,S01,64
1,4,4,92.22222222222223,S01,64
1,4,5,90.55555555555556,S01,64
1,4,6,93.33333333333331,S01,64
1,4,7,89.99999999999999,S01,64
1,5,0,85.55555555555556,S01,64
1,5,1,85.00000000000001,S01,64
1,5,2,84.44444444444444,S01,64
1,5,3,82.77777777777779,S01,64
1,5,4,82.77777777777779,S01,64
1,5,5,82.22222222222221,S01,64
1,5,6,84.44444444444444,S01,64
1,5,7,80.0,S01,64
2,2,0,80.0,S01,64
2,2,1,78.33333333333333,S01,64
2,2,2,77.77777777777779,S01,64
2,2,3,68.33333333333333,S01,64
2,2,4,66.1111111111111,S01,64
2,2,5,82.77777777777779,S01,64
2,2,6,81.66666666666667,S01,64
2,2,7,81.66666666666667,S01,64
2,3,0,82.77777777777779,S01,64
2,3,1,86.11111111111111,S01,64
2,3,2,83.88888888888889,S01,64
2,3,3,85.00000000000001,S01,64
2,3,4,80.55555555555556,S01,64
2,3,5,82.22222222222221,S01,64
2,3,6,80.55555555555556,S01,64
2,3,7,80.55555555555556,S01,64
2,4,0,77.22222222222223,S01,64
2,4,1,78.33333333333333,S01,64
2,4,2,83.33333333333334,S01,64
2,4,3,78.88888888888889,S01,64
2,4,4,83.88888888888889,S01,64
2,4,5,77.77777777777779,S01,64
2,4,6,76.66666666666666,S01,64
2,4,7,76.66666666666667,S01,64
2,5,0,72.77777777777777,S01,64
2,5,1,73.33333333333334,S01,64
2,5,2,73.88888888888889,S01,64
2,5,3,75.55555555555556,S01,64
2,5,4,73.88888888888889,S01,64
2,5,5,77.22222222222223,S01,64
2,5,6,77.22222222222223,S01,64
2,5,7,73.88888888888889,S01,64
3,2,0,87.22222222222223,S01,64
3,2,1,85.55555555555556,S01,64
3,2,2,88.33333333333334,S01,64
3,2,3,86.11111111111111,S01,64
3,2,4,87.77777777777777,S01,64
3,2,5,87.77777777777777,S01,64
3,2,6,87.77777777777777,S01,64
3,2,7,85.00000000000001,S01,64
3,3,0,88.88888888888889,S01,64
3,3,1,87.22222222222223,S01,64
3,3,2,87.77777777777777,S01,64
3,3,3,85.00000000000001,S01,64
3,3,4,85.55555555555556,S01,64
3,3,5,87.22222222222223,S01,64
3,3,6,86.11111111111111,S01,64
3,3,7,88.88888888888889,S01,64
3,4,0,90.55555555555554,S01,64
3,4,1,89.99999999999999,S01,64
3,4,2,90.55555555555554,S01,64
3,4,3,89.99999999999999,S01,64
3,4,4,89.99999999999999,S01,64
3,4,5,88.88888888888889,S01,64
3,4,6,89.99999999999999,S01,64
3,4,7,88.33333333333333,S01,64
3,5,0,86.66666666666667,S01,64
3,5,1,85.00000000000001,S01,64
3,5,2,82.77777777777777,S01,64
3,5,3,84.44444444444446,S01,64
3,5,4,82.77777777777779,S01,64
3,5,5,86.66666666666666,S01,64
3,5,6,83.8888888888889,S01,64
3,5,7,84.44444444444446,S01,64
