fold,batch,seed,acc,subject,K
1,2,0,76.11111111111111,S01,16
1,2,1,88.88888888888889,S01,16
1,2,2,82.22222222222221,S01,16
1,2,3,87.77777777777777,S01,16
1,2,4,82.22222222222223,S01,16
1,2,5,84.44444444444444,S01,16
1,2,6,86.11111111111111,S01,16
1,2,7,88.33333333333334,S01,16
1,3,0,93.33333333333333,S01,16
1,3,1,92.22222222222223,S01,16
1,3,2,90.55555555555554,S01,16
1,3,3,92.2222222222222,S01,16
1,3,4,92.77777777777777,S01,16
1,3,5,93.33333333333333,S01,16
1,3,6,87.77777777777777,S01,16
1,3,7,91.1111111111111,S01,16
1,4,0,87.77777777777777,S01,16
1,4,1,91.1111111111111,S01,16
1,4,2,91.1111111111111,S01,16
1,4,3,92.77777777777777,S01,16
1,4,4,91.66666666666666,S01,16
1,4,5,89.44444444444444,S01,16
1,4,6,84.44444444444444,S01,16
1,4,7,88.88888888888889,S01,16
1,5,0,76.11111111111111,S01,16
1,5,1,80.0,S01,16
1,5,2,81.66666666666667,S01,16
1,5,3,83.88888888888889,S01,16
1,5,4,81.66666666666667,S01,16
1,5,5,77.77777777777779,S01,16
1,5,6,81.11111111111111,S01,16
1,5,7,76.66666666666666,S01,16
2,2,0,79.44444444444446,S01,16
2,2,1,75.55555555555557,S01,16
2,2,2,79.44444444444446,S01,16
2,2,3,78.88888888888889,S01,16
2,2,4,80.0,S01,16
2,2,5,76.11111111111111,S01,16
2,2,6,81.66666666666667,S01,16
2,2,7,78.33333333333333,S01,16
2,3,0,79.44444444444446,S01,16
2,3,1,81.11111111111111,S01,16
2,3,2,82.77777777777779,S01,16
2,3,3,81.66666666666667,S01,16
2,3,4,78.8888888888889,S01,16
2,3,5,80.55555555555556,S01,16
2,3,6,82.22222222222221,S01,16
2,3,7,74.44444444444444,S01,16
2,4,0,73.33333333333334,S01,16
2,4,1,80.0,S01,16
2,4,2,77.22222222222223,S01,16
2,4,3,77.77777777777779,S01,16
2,4,4,82.77777777777779,S01,16
2,4,5,72.22222222222221,S01,16
2,4,6,76.11111111111111,S01,16
2,4,7,78.33333333333334,S01,16
2,5,0,70.0,S01,16
2,5,1,69.44444444444444,S01,16
2,5,2,76.11111111111111,S01,16
2,5,3,75.0,S01,16
2,5,4,66.66666666666666,S01,16
2,5,5,73.33333333333334,S01,16
2,5,6,77.22222222222221,S01,16
2,5,7,74.44444444444444,S01,16
3,2,0,85.55555555555556,S01,16
3,2,1,85.00000000000001,S01,16
3,2,2,87.22222222222223,S01,16
3,2,3,87.77777777777777,S01,16
3,2,4,86.11111111111111,S01,16
3,2,5,87.77777777777777,S01,16
3,2,6,87.22222222222223,S01,16
3,2,7,86.66666666666667,S01,16
3,3,0,87.77777777777777,S01,16
3,3,1,86.11111111111111,S01,16
3,3,2,85.00000000000001,S01,16
3,3,3,85.00000000000001,S01,16
3,3,4,78.8888888888889,S01,16
3,3,5,82.77777777777777,S01,16
3,3,6,86.66666666666667,S01,16
3,3,7,85.55555555555556,S01,16
3,4,0,88.88888888888889,S01,16
3,4,1,87.22222222222223,S01,16
3,4,2,89.44444444444444,S01,16
3,4,3,85.0,S01,16
3,4,4,90.55555555555554,S01,16
3,4,5,87.22222222222223,S01,16
3,4,6,89.44444444444444,S01,16
3,4,7,86.66666666666667,S01,16
3,5,0,84.44444444444444,S01,16
3,5,1,84.44444444444444,S01,16
3,5,2,86.11111111111111,S01,16
3,5,3,84.44444444444446,S01,16
3,5,4,80.55555555555556,S01,16
3,5,5,79.44444444444446,S01,16
3,5,6,83.8888888888889,S01,16
3,5,7,77.77777777777779,S01,16
