fold,batch,seed,acc,subject,K
1,2,0,64.44444444444444,S01,2
1,2,1,40.55555555555556,S01,2
1,2,2,54.44444444444444,S01,2
1,2,3,57.77777777777777,S01,2
1,2,4,56.666666666666664,S01,2
1,2,5,71.66666666666667,S01,2
1,2,6,44.99999999999999,S01,2
1,2,7,51.11111111111111,S01,2
1,3,0,71.11111111111111,S01,2
1,3,1,56.111111111111114,S01,2
1,3,2,82.77777777777779,S01,2
1,3,3,61.111111111111114,S01,2
1,3,4,60.00000000000001,S01,2
1,3,5,78.88888888888889,S01,2
1,3,6,70.0,S01,2
1,3,7,62.22222222222222,S01,2
1,4,0,60.555555555555564,S01,2
1,4,1,35.0,S01,2
1,4,2,55.00000000000001,S01,2
1,4,3,75.55555555555556,S01,2
1,4,4,67.77777777777779,S01,2
1,4,5,61.111111111111114,S01,2
1,4,6,67.77777777777777,S01,2
1,4,7,71.66666666666667,S01,2
1,5,0,50.0,S01,2
1,5,1,41.111111111111114,S01,2
1,5,2,54.99999999999999,S01,2
1,5,3,50.55555555555556,S01,2
1,5,4,56.111111111111114,S01,2
1,5,5,64.44444444444444,S01,2
1,5,6,48.33333333333333,S01,2
1,5,7,55.00000000000001,S01,2
2,2,0,75.0,S01,2
2,2,1,53.888888888888886,S01,2
2,2,2,70.0,S01,2
2,2,3,71.11111111111111,S01,2
2,2,4,33.33333333333333,S01,2
2,2,5,54.44444444444445,S01,2
2,2,6,60.00000000000001,S01,2
2,2,7,36.666666666666664,S01,2
2,3,0,67.22222222222221,S01,2
2,3,1,54.44444444444445,S01,2
2,3,2,74.44444444444444,S01,2
2,3,3,58.333333333333336,S01,2
2,3,4,55.55555555555556,S01,2
2,3,5,79.44444444444444,S01,2
2,3,6,72.77777777777779,S01,2
2,3,7,63.33333333333333,S01,2
2,4,0,68.33333333333333,S01,2
2,4,1,58.333333333333336,S01,2
2,4,2,44.99999999999999,S01,2
2,4,3,36.11111111111111,S01,2
2,4,4,50.0,S01,2
2,4,5,56.666666666666664,S01,2
2,4,6,56.666666666666664,S01,2
2,4,7,57.777777777777786,S01,2
2,5,0,43.333333333333336,S01,2
2,5,1,50.555555555555564,S01,2
2,5,2,55.55555555555556,S01,2
2,5,3,55.55555555555556,S01,2
2,5,4,46.666666666666664,S01,2
2,5,5,63.888888888888886,S01,2
2,5,6,57.22222222222223,S01,2
2,5,7,68.88888888888887,S01,2
3,2,0,73.88888888888889,S01,2
3,2,1,42.22222222222222,S01,2
3,2,2,73.33333333333334,S01,2
3,2,3,58.333333333333336,S01,2
3,2,4,52.22222222222223,S01,2
3,2,5,63.33333333333333,S01,2
3,2,6,68.33333333333333,S01,2
3,2,7,55.55555555555556,S01,2
3,3,0,67.77777777777779,S01,2
3,3,1,53.8888888888889,S01,2
3,3,2,64.44444444444444,S01,2
3,3,3,55.00000000000001,S01,2
3,3,4,60.555555555555564,S01,2
3,3,5,63.33333333333333,S01,2
3,3,6,77.22222222222223,S01,2
3,3,7,51.11111111111111,S01,2
3,4,0,71.11111111111111,S01,2
3,4,1,67.77777777777779,S01,2
3,4,2,46.111111111111114,S01,2
3,4,3,72.77777777777777,S01,2
3,4,4,36.666666666666664,S01,2
3,4,5,71.66666666666667,S01,2
3,4,6,73.88888888888889,S01,2
3,4,7,60.00000000000001,S01,2
3,5,0,69.44444444444444,S01,2
3,5,1,62.77777777777778,S01,2
3,5,2,75.0,S01,2
3,5,3,61.111111111111114,S01,2
3,5,4,58.8888888888889,S01,2
3,5,5,62.77777777777778,S01,2
3,5,6,73.88888888888889,S01,2
3,5,7,54.99999999999999,S01,2
