fold,batch,seed,acc,subject,K
1,2,0,35.55555555555556,S02,5
1,2,1,50.0,S02,5
1,2,2,41.111111111111114,S02,5
1,2,3,31.66666666666667,S02,5
1,2,4,38.88888888888889,S02,5
1,2,5,43.888888888888886,S02,5
1,2,6,44.44444444444444,S02,5
1,2,7,47.22222222222222,S02,5
1,3,0,41.11111111111111,S02,5
1,3,1,42.77777777777778,S02,5
1,3,2,42.77777777777778,S02,5
1,3,3,43.333333333333336,S02,5
1,3,4,42.22222222222222,S02,5
1,3,5,51.66666666666667,S02,5
1,3,6,44.99999999999999,S02,5
1,3,7,42.77777777777778,S02,5
1,4,0,32.22222222222222,S02,5
1,4,1,35.0,S02,5
1,4,2,29.44444444444445,S02,5
1,4,3,34.44444444444444,S02,5
1,4,4,32.77777777777778,S02,5
1,4,5,31.11111111111111,S02,5
1,4,6,36.11111111111111,S02,5
1,4,7,28.33333333333334,S02,5
1,5,0,37.77777777777778,S02,5
1,5,1,37.777777777777786,S02,5
1,5,2,38.88888888888889,S02,5
1,5,3,34.44444444444444,S02,5
1,5,4,37.77777777777778,S02,5
1,5,5,41.111111111111114,S02,5
1,5,6,37.77777777777778,S02,5
1,5,7,35.55555555555555,S02,5
2,2,0,55.00000000000001,S02,5
2,2,1,67.22222222222221,S02,5
2,2,2,70.0,S02,5
2,2,3,60.00000000000001,S02,5
2,2,4,57.22222222222222,S02,5
2,2,5,69.44444444444444,S02,5
2,2,6,58.333333333333336,S02,5
2,2,7,67.77777777777777,S02,5
2,3,0,67.77777777777777,S02,5
2,3,1,69.44444444444444,S02,5
2,3,2,66.1111111111111,S02,5
2,3,3,60.555555555555564,S02,5
2,3,4,58.333333333333336,S02,5
2,3,5,70.0,S02,5
2,3,6,65.55555555555556,S02,5
2,3,7,50.55555555555556,S02,5
2,4,0,54.44444444444445,S02,5
2,4,1,66.11111111111111,S02,5
2,4,2,70.0,S02,5
2,4,3,70.55555555555556,S02,5
2,4,4,70.0,S02,5
2,4,5,60.0,S02,5
2,4,6,65.55555555555554,S02,5
2,4,7,73.88888888888889,S02,5
2,5,0,53.8888888888889,S02,5
2,5,1,67.77777777777777,S02,5
2,5,2,64.44444444444444,S02,5
2,5,3,61.111111111111114,S02,5
2,5,4,66.66666666666666,S02,5
2,5,5,57.22222222222222,S02,5
2,5,6,60.0,S02,5
2,5,7,61.66666666666667,S02,5
3,2,0,56.11111111111112,S02,5
3,2,1,78.8888888888889,S02,5
3,2,2,76.66666666666667,S02,5
3,2,3,55.00000000000001,S02,5
3,2,4,67.77777777777779,S02,5
3,2,5,72.22222222222223,S02,5
3,2,6,76.66666666666666,S02,5
3,2,7,68.33333333333333,S02,5
3,3,0,55.55555555555556,S02,5
3,3,1,70.55555555555556,S02,5
3,3,2,76.11111111111111,S02,5
3,3,3,72.22222222222221,S02,5
3,3,4,67.77777777777777,S02,5
3,3,5,72.22222222222221,S02,5
3,3,6,74.44444444444444,S02,5
3,3,7,62.77777777777778,S02,5
3,4,0,45.55555555555556,S02,5
3,4,1,65.55555555555556,S02,5
3,4,2,62.77777777777778,S02,5
3,4,3,64.44444444444444,S02,5
3,4,4,56.111111111111114,S02,5
3,4,5,58.333333333333336,S02,5
3,4,6,63.33333333333333,S02,5
3,4,7,66.11111111111111,S02,5
3,5,0,62.22222222222222,S02,5
3,5,1,61.66666666666667,S02,5
3,5,2,59.44444444444446,S02,5
3,5,3,70.55555555555556,S02,5
3,5,4,56.1111111111111,S02,5
3,5,5,60.55555555555555,S02,5
3,5,6,64.99999999999999,S02,5
3,5,7,60.555555555555564,S02,5
