fold,batch,frac,seed,method,acc,subject
1,4,0.05,1,winsorize,81.11111111111111,S01
1,4,0.05,2,standard,90.55555555555556,S01
1,4,0.05,2,reject,92.77777777777777,S01
1,4,0.05,2,winsorize,77.22222222222223,S01
1,4,0.05,3,standard,90.55555555555556,S01
1,4,0.05,3,reject,91.66666666666666,S01
1,4,0.05,3,winsorize,82.22222222222221,S01
1,4,0.1,0,standard,88.88888888888889,S01
1,4,0.1,0,reject,92.77777777777777,S01
1,4,0.1,0,winsorize,51.66666666666666,S01
1,4,0.1,1,standard,88.33333333333333,S01
1,4,0.1,1,reject,92.77777777777777,S01
1,4,0.1,1,winsorize,50.55555555555554,S01
1,4,0.1,2,standard,87.22222222222223,S01
1,4,0.1,2,reject,92.77777777777777,S01
1,4,0.1,2,winsorize,40.0,S01
1,4,0.1,3,standard,88.88888888888889,S01
1,4,0.1,3,reject,91.66666666666666,S01
1,4,0.1,3,winsorize,49.444444444444436,S01
1,4,0.2,0,standard,82.22222222222221,S01
1,4,0.2,0,reject,92.22222222222223,S01
1,4,0.2,0,winsorize,12.222222222222223,S01
1,4,0.2,1,standard,81.66666666666667,S01
1,4,0.2,1,reject,92.77777777777777,S01
1,4,0.2,1,winsorize,11.11111111111111,S01
1,4,0.2,2,standard,82.22222222222223,S01
1,4,0.2,2,reject,92.77777777777777,S01
1,4,0.2,2,winsorize,11.11111111111111,S01
1,4,0.2,3,standard,82.22222222222221,S01
1,4,0.2,3,reject,92.77777777777777,S01
1,4,0.2,3,winsorize,11.666666666666666,S01
1,5,0.0,0,standard,82.22222222222223,S01
1,5,0.0,0,reject,82.22222222222223,S01
1,5,0.0,0,winsorize,53.33333333333334,S01
1,5,0.0,1,standard,82.22222222222223,S01
1,5,0.0,1,reject,82.22222222222223,S01
1,5,0.0,1,winsorize,53.33333333333334,S01
1,5,0.0,2,standard,82.22222222222223,S01
1,5,0.0,2,reject,82.22222222222223,S01
1,5,0.0,2,winsorize,53.33333333333334,S01
1,5,0.0,3,standard,82.22222222222223,S01
1,5,0.0,3,reject,82.22222222222223,S01
1,5,0.0,3,winsorize,53.33333333333334,S01
1,5,0.05,0,standard,82.77777777777779,S01
1,5,0.05,0,reject,82.77777777777779,S01
1,5,0.05,0,winsorize,68.33333333333333,S01
1,5,0.05,1,standard,82.22222222222223,S01
1,5,0.05,1,reject,82.22222222222221,S01
1,5,0.05,1,winsorize,68.33333333333333,S01
1,5,0.05,2,standard,82.77777777777779,S01
1,5,0.05,2,reject,82.77777777777779,S01
1,5,0.05,2,winsorize,65.55555555555556,S01
1,5,0.05,3,standard,82.22222222222223,S01
1,5,0.05,3,reject,82.22222222222221,S01
1,5,0.05,3,winsorize,70.55555555555554,S01
1,5,0.1,0,standard,81.11111111111113,S01
1,5,0.1,0,reject,82.22222222222221,S01
1,5,0.1,0,winsorize,46.1111111111111,S01
1,5,0.1,1,standard,81.11111111111113,S01
1,5,0.1,1,reject,82.22222222222221,S01
1,5,0.1,1,winsorize,33.33333333333333,S01
1,5,0.1,2,standard,81.11111111111113,S01
1,5,0.1,2,reject,82.22222222222221,S01
1,5,0.1,2,winsorize,41.111111111111114,S01
1,5,0.1,3,standard,81.66666666666667,S01
1,5,0.1,3,reject,82.77777777777779,S01
1,5,0.1,3,winsorize,38.88888888888889,S01
1,5,0.2,0,standard,76.66666666666667,S01
1,5,0.2,0,reject,83.88888888888889,S01
1,5,0.2,0,winsorize,11.11111111111111,S01
1,5,0.2,1,standard,76.11111111111111,S01
1,5,0.2,1,reject,82.22222222222221,S01
1,5,0.2,1,winsorize,12.777777777777777,S01
1,5,0.2,2,standard,77.77777777777779,S01
1,5,0.2,2,reject,81.66666666666667,S01
1,5,0.2,2,winsorize,12.77777777777778,S01
1,5,0.2,3,standard,76.66666666666667,S01
1,5,0.2,3,reject,83.33333333333334,S01
1,5,0.2,3,winsorize,11.11111111111111,S01
2,2,0.0,0,standard,79.44444444444446,S01
2,2,0.0,0,reject,82.22222222222223,S01
2,2,0.0,0,winsorize,79.44444444444446,S01
2,2,0.0,1,standard,79.44444444444446,S01
2,2,0.0,1,reject,82.22222222222223,S01
2,2,0.0,1,winsorize,79.44444444444446,S01
2,2,0.0,2,standard,79.44444444444446,S01
2,2,0.0,2,reject,82.22222222222223,S01
2,2,0.0,2,winsorize,79.44444444444446,S01
2,2,0.0,3,standard,79.44444444444446,S01
2,2,0.0,3,reject,82.22222222222223,S01
2,2,0.0,3,winsorize,79.44444444444446,S01
2,2,0.05,0,standard,78.8888888888889,S01
2,2,0.05,0,reject,82.22222222222221,S01
2,2,0.05,0,winsorize,27.222222222222225,S01
2,2,0.05,1,standard,79.44444444444446,S01
2,2,0.05,1,reject,81.66666666666667,S01
2,2,0.05,1,winsorize,23.888888888888893,S01
2,2,0.05,2,standard,78.8888888888889,S01
2,2,0.05,2,reject,81.66666666666667,S01
2,2,0.05,2,winsorize,24.444444444444446,S01
2,2,0.05,3,standard,80.0,S01
2,2,0.05,3,reject,82.22222222222223,S01
2,2,0.05,3,winsorize,25.555555555555554,S01
2,2,0.1,0,standard,80.0,S01
2,2,0.1,0,reject,82.22222222222223,S01
2,2,0.1,0,winsorize,19.444444444444446,S01
2,2,0.1,1,standard,78.8888888888889,S01
2,2,0.1,1,reject,81.11111111111111,S01
2,2,0.1,1,winsorize,13.333333333333334,S01
2,2,0.1,2,standard,79.44444444444446,S01
2,2,0.1,2,reject,82.22222222222223,S01
2,2,0.1,2,winsorize,18.333333333333332,S01
2,2,0.1,3,standard,80.0,S01
2,2,0.1,3,reject,81.66666666666667,S01
2,2,0.1,3,winsorize,19.444444444444446,S01
2,2,0.2,0,standard,72.77777777777777,S01
2,2,0.2,0,reject,82.77777777777779,S01
2,2,0.2,0,winsorize,14.444444444444446,S01
2,2,0.2,1,standard,71.11111111111111,S01
2,2,0.2,1,reject,80.55555555555556,S01
2,2,0.2,1,winsorize,11.11111111111111,S01
2,2,0.2,2,standard,70.0,S01
2,2,0.2,2,reject,79.44444444444446,S01
2,2,0.2,2,winsorize,11.11111111111111,S01
2,2,0.2,3,standard,71.11111111111111,S01
2,2,0.2,3,reject,82.77777777777779,S01
2,2,0.2,3,winsorize,16.11111111111111,S01
2,3,0.0,0,standard,83.33333333333334,S01
2,3,0.0,0,reject,84.44444444444446,S01
2,3,0.0,0,winsorize,78.33333333333334,S01
2,3,0.0,1,standard,83.33333333333334,S01
2,3,0.0,1,reject,84.44444444444446,S01
2,3,0.0,1,winsorize,78.33333333333334,S01
2,3,0.0,2,standard,83.33333333333334,S01
2,3,0.0,2,reject,84.44444444444446,S01
2,3,0.0,2,winsorize,78.33333333333334,S01
2,3,0.0,3,standard,83.33333333333334,S01
2,3,0.0,3,reject,84.44444444444446,S01
2,3,0.0,3,winsorize,78.33333333333334,S01
2,3,0.05,0,standard,80.0,S01
2,3,0.05,0,reject,85.00000000000001,S01
2,3,0.05,0,winsorize,63.33333333333333,S01
2,3,0.05,1,standard,78.88888888888889,S01
2,3,0.05,1,reject,85.00000000000001,S01
2,3,0.05,1,winsorize,58.88888888888889,S01
2,3,0.05,2,standard,78.88888888888889,S01
2,3,0.05,2,reject,84.44444444444446,S01
2,3,0.05,2,winsorize,51.66666666666667,S01
2,3,0.05,3,standard,80.55555555555556,S01
2,3,0.05,3,reject,83.33333333333334,S01
2,3,0.05,3,winsorize,62.77777777777778,S01
2,3,0.1,0,standard,78.33333333333334,S01
2,3,0.1,0,reject,83.33333333333334,S01
2,3,0.1,0,winsorize,29.444444444444446,S01
2,3,0.1,1,standard,76.66666666666667,S01
2,3,0.1,1,reject,83.88888888888889,S01
2,3,0.1,1,winsorize,31.666666666666664,S01
2,3,0.1,2,standard,77.22222222222221,S01
2,3,0.1,2,reject,85.00000000000001,S01
2,3,0.1,2,winsorize,18.333333333333332,S01
2,3,0.1,3,standard,80.0,S01
2,3,0.1,3,reject,84.44444444444444,S01
2,3,0.1,3,winsorize,29.44444444444444,S01
2,3,0.2,0,standard,69.44444444444444,S01
2,3,0.2,0,reject,81.66666666666667,S01
2,3,0.2,0,winsorize,11.11111111111111,S01
2,3,0.2,1,standard,68.33333333333333,S01
2,3,0.2,1,reject,83.33333333333334,S01
2,3,0.2,1,winsorize,11.11111111111111,S01
2,3,0.2,2,standard,70.0,S01
2,3,0.2,2,reject,84.44444444444446,S01
2,3,0.2,2,winsorize,11.11111111111111,S01
2,3,0.2,3,standard,71.11111111111111,S01
2,3,0.2,3,reject,83.33333333333333,S01
2,3,0.2,3,winsorize,11.11111111111111,S01
2,4,0.0,0,standard,79.44444444444444,S01
2,4,0.0,0,reject,80.55555555555556,S01
2,4,0.0,0,winsorize,73.33333333333334,S01
2,4,0.0,1,standard,79.44444444444444,S01
2,4,0.0,1,reject,80.55555555555556,S01
2,4,0.0,1,winsorize,73.33333333333334,S01
2,4,0.0,2,standard,79.44444444444444,S01
2,4,0.0,2,reject,80.55555555555556,S01
2,4,0.0,2,winsorize,73.33333333333334,S01
2,4,0.0,3,standard,79.44444444444444,S01
2,4,0.0,3,reject,80.55555555555556,S01
2,4,0.0,3,winsorize,73.33333333333334,S01
2,4,0.05,0,standard,79.44444444444446,S01
2,4,0.05,0,reject,80.0,S01
2,4,0.05,0,winsorize,43.333333333333336,S01
2,4,0.05,1,standard,78.88888888888889,S01
2,4,0.05,1,reject,80.55555555555556,S01
2,4,0.05,1,winsorize,52.77777777777778,S01
2,4,0.05,2,standard,77.77777777777779,S01
2,4,0.05,2,reject,80.0,S01
2,4,0.05,2,winsorize,47.77777777777777,S01
2,4,0.05,3,standard,78.33333333333334,S01
2,4,0.05,3,reject,80.55555555555556,S01
2,4,0.05,3,winsorize,46.111111111111114,S01
2,4,0.1,0,standard,77.77777777777779,S01
2,4,0.1,0,reject,78.88888888888889,S01
2,4,0.1,0,winsorize,31.11111111111111,S01
2,4,0.1,1,standard,77.22222222222223,S01
2,4,0.1,1,reject,79.44444444444446,S01
2,4,0.1,1,winsorize,20.0,S01
2,4,0.1,2,standard,77.22222222222223,S01
2,4,0.1,2,reject,80.0,S01
2,4,0.1,2,winsorize,19.444444444444446,S01
