fold,batch,frac,seed,method,acc,subject
1,2,0.0,0,standard,50.55555555555556,S02
1,2,0.0,0,reject,51.11111111111112,S02
1,2,0.0,0,winsorize,30.555555555555557,S02
1,2,0.0,1,standard,50.55555555555556,S02
1,2,0.0,1,reject,51.11111111111112,S02
1,2,0.0,1,winsorize,30.555555555555557,S02
1,2,0.0,2,standard,50.55555555555556,S02
1,2,0.0,2,reject,51.11111111111112,S02
1,2,0.0,2,winsorize,30.555555555555557,S02
1,2,0.0,3,standard,50.55555555555556,S02
1,2,0.0,3,reject,51.11111111111112,S02
1,2,0.0,3,winsorize,30.555555555555557,S02
1,2,0.05,0,standard,37.22222222222222,S02
1,2,0.05,0,reject,50.0,S02
1,2,0.05,0,winsorize,11.11111111111111,S02
1,2,0.05,1,standard,35.55555555555556,S02
1,2,0.05,1,reject,50.0,S02
1,2,0.05,1,winsorize,11.11111111111111,S02
1,2,0.05,2,standard,37.222222222222214,S02
1,2,0.05,2,reject,50.0,S02
1,2,0.05,2,winsorize,11.11111111111111,S02
1,2,0.05,3,standard,38.88888888888889,S02
1,2,0.05,3,reject,50.555555555555564,S02
1,2,0.05,3,winsorize,11.11111111111111,S02
1,2,0.1,0,standard,26.111111111111107,S02
1,2,0.1,0,reject,49.44444444444444,S02
1,2,0.1,0,winsorize,11.11111111111111,S02
1,2,0.1,1,standard,26.666666666666668,S02
1,2,0.1,1,reject,50.0,S02
1,2,0.1,1,winsorize,11.11111111111111,S02
1,2,0.1,2,standard,27.22222222222222,S02
1,2,0.1,2,reject,50.0,S02
1,2,0.1,2,winsorize,11.11111111111111,S02
1,2,0.1,3,standard,28.33333333333334,S02
1,2,0.1,3,reject,50.555555555555564,S02
1,2,0.1,3,winsorize,11.11111111111111,S02
1,2,0.2,0,standard,25.0,S02
1,2,0.2,0,reject,50.55555555555556,S02
1,2,0.2,0,winsorize,11.11111111111111,S02
1,2,0.2,1,standard,22.777777777777775,S02
1,2,0.2,1,reject,51.11111111111111,S02
1,2,0.2,1,winsorize,11.11111111111111,S02
1,2,0.2,2,standard,23.333333333333332,S02
1,2,0.2,2,reject,51.66666666666667,S02
1,2,0.2,2,winsorize,11.11111111111111,S02
1,2,0.2,3,standard,24.999999999999993,S02
1,2,0.2,3,reject,52.22222222222223,S02
1,2,0.2,3,winsorize,11.11111111111111,S02
1,3,0.0,0,standard,45.55555555555556,S02
1,3,0.0,0,reject,45.55555555555555,S02
1,3,0.0,0,winsorize,17.77777777777778,S02
1,3,0.0,1,standard,45.55555555555556,S02
1,3,0.0,1,reject,45.55555555555555,S02
1,3,0.0,1,winsorize,17.77777777777778,S02
1,3,0.0,2,standard,45.55555555555556,S02
1,3,0.0,2,reject,45.55555555555555,S02
1,3,0.0,2,winsorize,17.77777777777778,S02
1,3,0.0,3,standard,45.55555555555556,S02
1,3,0.0,3,reject,45.55555555555555,S02
1,3,0.0,3,winsorize,17.77777777777778,S02
1,3,0.05,0,standard,42.22222222222223,S02
1,3,0.05,0,reject,47.22222222222222,S02
1,3,0.05,0,winsorize,13.333333333333336,S02
1,3,0.05,1,standard,40.0,S02
1,3,0.05,1,reject,46.1111111111111,S02
1,3,0.05,1,winsorize,11.11111111111111,S02
1,3,0.05,2,standard,41.111111111111114,S02
1,3,0.05,2,reject,45.55555555555555,S02
1,3,0.05,2,winsorize,18.333333333333336,S02
1,3,0.05,3,standard,43.333333333333336,S02
1,3,0.05,3,reject,44.99999999999999,S02
1,3,0.05,3,winsorize,11.666666666666666,S02
1,3,0.1,0,standard,34.444444444444436,S02
1,3,0.1,0,reject,45.55555555555556,S02
1,3,0.1,0,winsorize,11.11111111111111,S02
1,3,0.1,1,standard,34.444444444444436,S02
1,3,0.1,1,reject,44.99999999999999,S02
1,3,0.1,1,winsorize,11.11111111111111,S02
1,3,0.1,2,standard,35.55555555555555,S02
1,3,0.1,2,reject,45.55555555555555,S02
1,3,0.1,2,winsorize,11.11111111111111,S02
1,3,0.1,3,standard,34.444444444444436,S02
1,3,0.1,3,reject,46.111111111111114,S02
1,3,0.1,3,winsorize,11.11111111111111,S02
1,3,0.2,0,standard,28.333333333333332,S02
1,3,0.2,0,reject,46.111111111111114,S02
1,3,0.2,0,winsorize,11.11111111111111,S02
1,3,0.2,1,standard,25.55555555555556,S02
1,3,0.2,1,reject,45.55555555555556,S02
1,3,0.2,1,winsorize,11.11111111111111,S02
1,3,0.2,2,standard,27.77777777777778,S02
1,3,0.2,2,reject,44.44444444444444,S02
1,3,0.2,2,winsorize,11.11111111111111,S02
1,3,0.2,3,standard,28.888888888888886,S02
1,3,0.2,3,reject,44.99999999999999,S02
1,3,0.2,3,winsorize,11.11111111111111,S02
1,4,0.0,0,standard,38.888888888888886,S02
1,4,0.0,0,reject,38.33333333333333,S02
1,4,0.0,0,winsorize,11.11111111111111,S02
1,4,0.0,1,standard,38.888888888888886,S02
1,4,0.0,1,reject,38.33333333333333,S02
1,4,0.0,1,winsorize,11.11111111111111,S02
1,4,0.0,2,standard,38.888888888888886,S02
1,4,0.0,2,reject,38.33333333333333,S02
1,4,0.0,2,winsorize,11.11111111111111,S02
1,4,0.0,3,standard,38.888888888888886,S02
1,4,0.0,3,reject,38.33333333333333,S02
1,4,0.0,3,winsorize,11.11111111111111,S02
1,4,0.05,0,standard,33.333333333333336,S02
1,4,0.05,0,reject,38.33333333333333,S02
1,4,0.05,0,winsorize,10.0,S02
1,4,0.05,1,standard,33.33333333333333,S02
1,4,0.05,1,reject,37.77777777777778,S02
1,4,0.05,1,winsorize,11.11111111111111,S02
1,4,0.05,2,standard,32.77777777777778,S02
1,4,0.05,2,reject,38.888888888888886,S02
1,4,0.05,2,winsorize,14.444444444444443,S02
1,4,0.05,3,standard,31.666666666666664,S02
1,4,0.05,3,reject,37.77777777777778,S02
1,4,0.05,3,winsorize,12.22222222222222,S02
1,4,0.1,0,standard,30.0,S02
1,4,0.1,0,reject,39.44444444444444,S02
1,4,0.1,0,winsorize,11.11111111111111,S02
1,4,0.1,1,standard,29.444444444444446,S02
1,4,0.1,1,reject,36.11111111111111,S02
1,4,0.1,1,winsorize,11.11111111111111,S02
1,4,0.1,2,standard,28.33333333333334,S02
1,4,0.1,2,reject,38.888888888888886,S02
1,4,0.1,2,winsorize,11.11111111111111,S02
1,4,0.1,3,standard,30.000000000000004,S02
1,4,0.1,3,reject,37.22222222222222,S02
1,4,0.1,3,winsorize,11.11111111111111,S02
1,4,0.2,0,standard,23.888888888888886,S02
1,4,0.2,0,reject,38.33333333333333,S02
1,4,0.2,0,winsorize,11.11111111111111,S02
1,4,0.2,1,standard,24.44444444444444,S02
1,4,0.2,1,reject,37.77777777777778,S02
1,4,0.2,1,winsorize,11.11111111111111,S02
1,4,0.2,2,standard,24.444444444444446,S02
1,4,0.2,2,reject,37.77777777777778,S02
1,4,0.2,2,winsorize,11.11111111111111,S02
1,4,0.2,3,standard,24.444444444444446,S02
1,4,0.2,3,reject,36.11111111111111,S02
1,4,0.2,3,winsorize,11.11111111111111,S02
1,5,0.0,0,standard,41.111111111111114,S02
1,5,0.0,0,reject,41.66666666666667,S02
1,5,0.0,0,winsorize,20.0,S02
1,5,0.0,1,standard,41.111111111111114,S02
1,5,0.0,1,reject,41.66666666666667,S02
1,5,0.0,1,winsorize,20.0,S02
1,5,0.0,2,standard,41.111111111111114,S02
1,5,0.0,2,reject,41.66666666666667,S02
1,5,0.0,2,winsorize,20.0,S02
1,5,0.0,3,standard,41.111111111111114,S02
1,5,0.0,3,reject,41.66666666666667,S02
1,5,0.0,3,winsorize,20.0,S02
1,5,0.05,0,standard,29.44444444444445,S02
1,5,0.05,0,reject,41.66666666666667,S02
1,5,0.05,0,winsorize,11.11111111111111,S02
1,5,0.05,1,standard,31.666666666666664,S02
1,5,0.05,1,reject,41.111111111111114,S02
1,5,0.05,1,winsorize,11.11111111111111,S02
1,5,0.05,2,standard,28.33333333333334,S02
1,5,0.05,2,reject,41.111111111111114,S02
1,5,0.05,2,winsorize,12.777777777777777,S02
1,5,0.05,3,standard,28.888888888888896,S02
1,5,0.05,3,reject,41.111111111111114,S02
1,5,0.05,3,winsorize,11.11111111111111,S02
1,5,0.1,0,standard,23.33333333333333,S02
1,5,0.1,0,reject,40.555555555555564,S02
1,5,0.1,0,winsorize,11.11111111111111,S02
1,5,0.1,1,standard,24.444444444444446,S02
1,5,0.1,1,reject,38.88888888888889,S02
1,5,0.1,1,winsorize,11.11111111111111,S02
1,5,0.1,2,standard,25.0,S02
1,5,0.1,2,reject,40.555555555555564,S02
1,5,0.1,2,winsorize,11.11111111111111,S02
1,5,0.1,3,standard,23.888888888888893,S02
1,5,0.1,3,reject,40.555555555555564,S02
1,5,0.1,3,winsorize,11.11111111111111,S02
1,5,0.2,0,standard,18.88888888888889,S02
1,5,0.2,0,reject,38.333333333333336,S02
1,5,0.2,0,winsorize,11.11111111111111,S02
1,5,0.2,1,standard,20.0,S02
1,5,0.2,1,reject,39.44444444444446,S02
1,5,0.2,1,winsorize,11.11111111111111,S02
1,5,0.2,2,standard,18.88888888888889,S02
1,5,0.2,2,reject,39.44444444444445,S02
1,5,0.2,2,winsorize,11.11111111111111,S02
1,5,0.2,3,standard,18.88888888888889,S02
1,5,0.2,3,reject,39.44444444444444,S02
1,5,0.2,3,winsorize,11.11111111111111,S02
2,2,0.0,0,standard,68.33333333333333,S02
2,2,0.0,0,reject,69.44444444444444,S02
2,2,0.0,0,winsorize,58.333333333333336,S02
2,2,0.0,1,standard,68.33333333333333,S02
2,2,0.0,1,reject,69.44444444444444,S02
2,2,0.0,1,winsorize,58.333333333333336,S02
2,2,0.0,2,standard,68.33333333333333,S02
2,2,0.0,2,reject,69.44444444444444,S02
2,2,0.0,2,winsorize,58.333333333333336,S02
2,2,0.0,3,standard,68.33333333333333,S02
2,2,0.0,3,reject,69.44444444444444,S02
2,2,0.0,3,winsorize,58.333333333333336,S02
2,2,0.05,0,standard,71.66666666666666,S02
2,2,0.05,0,reject,70.0,S02
2,2,0.05,0,winsorize,36.666666666666664,S02
2,2,0.05,1,standard,72.77777777777777,S02
2,2,0.05,1,reject,68.88888888888889,S02
2,2,0.05,1,winsorize,35.55555555555556,S02
2,2,0.05,2,standard,74.44444444444443,S02
2,2,0.05,2,reject,70.55555555555556,S02
2,2,0.05,2,winsorize,42.77777777777778,S02
2,2,0.05,3,standard,71.66666666666667,S02
2,2,0.05,3,reject,69.44444444444444,S02
