subject,fold,batch,bn_layer,n_windows,max_loo_var_shift
S02,1,1,0,180,0.0265
S02,1,1,1,180,0.0247
S02,1,1,2,180,0.029
S02,1,1,3,180,0.0704
S02,1,1,4,180,0.026
S02,1,2,0,180,0.0105
S02,1,2,1,180,0.0234
S02,1,2,2,180,0.03
S02,1,2,3,180,0.0719
S02,1,2,4,180,0.0498
S02,1,3,0,180,0.0287
S02,1,3,1,180,0.0472
S02,1,3,2,180,0.0604
S02,1,3,3,180,0.1262
S02,1,3,4,180,0.0282
S02,1,4,0,180,0.009
S02,1,4,1,180,0.0149
S02,1,4,2,180,0.0187
S02,1,4,3,180,0.0394
S02,1,4,4,180,0.033
S02,1,5,0,180,0.0115
S02,1,5,1,180,0.0234
S02,1,5,2,180,0.0275
S02,1,5,3,180,0.094
S02,1,5,4,180,0.0582
S02,2,1,0,180,0.7886
S02,2,1,1,180,0.7326
S02,2,1,2,180,0.7866
S02,2,1,3,180,0.8743
S02,2,1,4,180,0.8629
S02,2,2,0,180,0.0178
S02,2,2,1,180,0.0256
S02,2,2,2,180,0.0329
S02,2,2,3,180,0.0583
S02,2,2,4,180,0.0777
S02,2,3,0,180,0.03
S02,2,3,1,180,0.0386
S02,2,3,2,180,0.0534
S02,2,3,3,180,0.0629
S02,2,3,4,180,0.0905
S02,2,4,0,180,0.018
S02,2,4,1,180,0.0215
S02,2,4,2,180,0.0342
S02,2,4,3,180,0.044
S02,2,4,4,180,0.0837
S02,2,5,0,180,0.0182
S02,2,5,1,180,0.0199
S02,2,5,2,180,0.0248
S02,2,5,3,180,0.0426
S02,2,5,4,180,0.052
S02,3,1,0,180,0.0317
S02,3,1,1,180,0.0383
S02,3,1,2,180,0.0484
S02,3,1,3,180,0.0704
S02,3,1,4,180,0.0604
S02,3,2,0,180,0.0191
S02,3,2,1,180,0.0296
S02,3,2,2,180,0.0432
S02,3,2,3,180,0.0607
S02,3,2,4,180,0.0354
S02,3,3,0,180,0.0214
S02,3,3,1,180,0.0373
S02,3,3,2,180,0.0347
S02,3,3,3,180,0.0662
S02,3,3,4,180,0.0397
S02,3,4,0,180,0.0145
S02,3,4,1,180,0.0219
S02,3,4,2,180,0.0263
S02,3,4,3,180,0.0497
S02,3,4,4,180,0.0496
S02,3,5,0,180,0.0203
S02,3,5,1,180,0.0238
S02,3,5,2,180,0.0255
S02,3,5,3,180,0.0354
S02,3,5,4,180,0.1044
