fold,batch,frac,seed,method,acc,subject
1,3,0.2,3,robust,93.33333333333333,S01
1,3,0.2,4,standard,83.88888888888889,S01
1,3,0.2,4,robust,93.33333333333333,S01
1,3,0.2,5,standard,82.7777777777778,S01
1,3,0.2,5,robust,91.66666666666666,S01
1,4,0.0,0,standard,92.22222222222223,S01
1,4,0.0,0,robust,92.22222222222223,S01
1,4,0.0,1,standard,92.22222222222223,S01
1,4,0.0,1,robust,92.22222222222223,S01
1,4,0.0,2,standard,92.22222222222223,S01
1,4,0.0,2,robust,92.22222222222223,S01
1,4,0.0,3,standard,92.22222222222223,S01
1,4,0.0,3,robust,92.22222222222223,S01
1,4,0.0,4,standard,92.22222222222223,S01
1,4,0.0,4,robust,92.22222222222223,S01
1,4,0.0,5,standard,92.22222222222223,S01
1,4,0.0,5,robust,92.22222222222223,S01
1,4,0.02,0,standard,91.1111111111111,S01
1,4,0.02,0,robust,92.22222222222223,S01
1,4,0.02,1,standard,92.77777777777777,S01
1,4,0.02,1,robust,92.22222222222223,S01
1,4,0.02,2,standard,92.22222222222223,S01
1,4,0.02,2,robust,92.22222222222223,S01
1,4,0.02,3,standard,90.55555555555556,S01
1,4,0.02,3,robust,92.22222222222223,S01
1,4,0.02,4,standard,92.22222222222223,S01
1,4,0.02,4,robust,92.22222222222223,S01
1,4,0.02,5,standard,91.66666666666666,S01
1,4,0.02,5,robust,92.22222222222223,S01
1,4,0.05,0,standard,90.55555555555556,S01
1,4,0.05,0,robust,92.22222222222223,S01
1,4,0.05,1,standard,89.99999999999999,S01
1,4,0.05,1,robust,91.66666666666666,S01
1,4,0.05,2,standard,91.1111111111111,S01
1,4,0.05,2,robust,92.22222222222223,S01
1,4,0.05,3,standard,89.99999999999999,S01
1,4,0.05,3,robust,92.77777777777777,S01
1,4,0.05,4,standard,89.44444444444444,S01
1,4,0.05,4,robust,92.22222222222223,S01
1,4,0.05,5,standard,90.55555555555556,S01
1,4,0.05,5,robust,92.22222222222223,S01
1,4,0.1,0,standard,87.77777777777777,S01
1,4,0.1,0,robust,91.66666666666666,S01
1,4,0.1,1,standard,88.33333333333333,S01
1,4,0.1,1,robust,91.1111111111111,S01
1,4,0.1,2,standard,88.88888888888889,S01
1,4,0.1,2,robust,91.66666666666666,S01
1,4,0.1,3,standard,87.77777777777777,S01
1,4,0.1,3,robust,92.22222222222223,S01
1,4,0.1,4,standard,88.33333333333333,S01
1,4,0.1,4,robust,92.22222222222223,S01
1,4,0.1,5,standard,88.88888888888889,S01
1,4,0.1,5,robust,92.22222222222223,S01
1,4,0.2,0,standard,82.22222222222221,S01
1,4,0.2,0,robust,92.77777777777777,S01
1,4,0.2,1,standard,80.55555555555556,S01
1,4,0.2,1,robust,91.66666666666666,S01
1,4,0.2,2,standard,82.22222222222221,S01
1,4,0.2,2,robust,91.1111111111111,S01
1,4,0.2,3,standard,81.11111111111111,S01
1,4,0.2,3,robust,92.77777777777779,S01
1,4,0.2,4,standard,82.22222222222221,S01
1,4,0.2,4,robust,91.66666666666666,S01
1,4,0.2,5,standard,82.22222222222223,S01
1,4,0.2,5,robust,91.1111111111111,S01
1,5,0.0,0,standard,82.22222222222223,S01
1,5,0.0,0,robust,82.22222222222223,S01
1,5,0.0,1,standard,82.22222222222223,S01
1,5,0.0,1,robust,82.22222222222223,S01
1,5,0.0,2,standard,82.22222222222223,S01
1,5,0.0,2,robust,82.22222222222223,S01
1,5,0.0,3,standard,82.22222222222223,S01
1,5,0.0,3,robust,82.22222222222223,S01
1,5,0.0,4,standard,82.22222222222223,S01
1,5,0.0,4,robust,82.22222222222223,S01
1,5,0.0,5,standard,82.22222222222223,S01
1,5,0.0,5,robust,82.22222222222223,S01
1,5,0.02,0,standard,83.33333333333334,S01
1,5,0.02,0,robust,81.66666666666667,S01
1,5,0.02,1,standard,82.77777777777779,S01
1,5,0.02,1,robust,81.66666666666667,S01
1,5,0.02,2,standard,83.33333333333334,S01
1,5,0.02,2,robust,82.77777777777779,S01
1,5,0.02,3,standard,83.88888888888889,S01
1,5,0.02,3,robust,82.77777777777779,S01
1,5,0.02,4,standard,83.33333333333334,S01
1,5,0.02,4,robust,82.22222222222223,S01
1,5,0.02,5,standard,83.33333333333334,S01
1,5,0.02,5,robust,81.66666666666667,S01
1,5,0.05,0,standard,82.77777777777779,S01
1,5,0.05,0,robust,82.22222222222223,S01
1,5,0.05,1,standard,82.77777777777779,S01
1,5,0.05,1,robust,82.22222222222221,S01
1,5,0.05,2,standard,82.77777777777779,S01
1,5,0.05,2,robust,82.22222222222221,S01
1,5,0.05,3,standard,83.33333333333334,S01
1,5,0.05,3,robust,82.22222222222223,S01
1,5,0.05,4,standard,82.77777777777779,S01
1,5,0.05,4,robust,83.33333333333334,S01
1,5,0.05,5,standard,82.77777777777779,S01
1,5,0.05,5,robust,82.22222222222221,S01
1,5,0.1,0,standard,83.33333333333334,S01
1,5,0.1,0,robust,83.33333333333334,S01
1,5,0.1,1,standard,82.77777777777779,S01
1,5,0.1,1,robust,82.77777777777779,S01
1,5,0.1,2,standard,82.22222222222223,S01
1,5,0.1,2,robust,82.22222222222221,S01
1,5,0.1,3,standard,81.66666666666667,S01
1,5,0.1,3,robust,82.22222222222223,S01
1,5,0.1,4,standard,81.11111111111113,S01
1,5,0.1,4,robust,82.77777777777779,S01
1,5,0.1,5,standard,82.77777777777779,S01
1,5,0.1,5,robust,82.22222222222221,S01
1,5,0.2,0,standard,75.55555555555557,S01
1,5,0.2,0,robust,83.33333333333334,S01
1,5,0.2,1,standard,76.66666666666667,S01
1,5,0.2,1,robust,82.77777777777779,S01
1,5,0.2,2,standard,77.22222222222221,S01
1,5,0.2,2,robust,82.22222222222221,S01
1,5,0.2,3,standard,77.77777777777779,S01
1,5,0.2,3,robust,84.44444444444446,S01
1,5,0.2,4,standard,78.33333333333333,S01
1,5,0.2,4,robust,82.77777777777779,S01
1,5,0.2,5,standard,76.11111111111111,S01
1,5,0.2,5,robust,83.33333333333334,S01
2,2,0.0,0,standard,79.44444444444446,S01
2,2,0.0,0,robust,82.22222222222223,S01
2,2,0.0,1,standard,79.44444444444446,S01
2,2,0.0,1,robust,82.22222222222223,S01
2,2,0.0,2,standard,79.44444444444446,S01
2,2,0.0,2,robust,82.22222222222223,S01
2,2,0.0,3,standard,79.44444444444446,S01
2,2,0.0,3,robust,82.22222222222223,S01
2,2,0.0,4,standard,79.44444444444446,S01
2,2,0.0,4,robust,82.22222222222223,S01
2,2,0.0,5,standard,79.44444444444446,S01
2,2,0.0,5,robust,82.22222222222223,S01
2,2,0.02,0,standard,80.0,S01
2,2,0.02,0,robust,81.66666666666667,S01
2,2,0.02,1,standard,78.8888888888889,S01
2,2,0.02,1,robust,81.66666666666667,S01
2,2,0.02,2,standard,78.8888888888889,S01
2,2,0.02,2,robust,82.77777777777779,S01
2,2,0.02,3,standard,80.0,S01
2,2,0.02,3,robust,81.66666666666667,S01
2,2,0.02,4,standard,78.33333333333334,S01
2,2,0.02,4,robust,82.22222222222223,S01
2,2,0.02,5,standard,80.55555555555557,S01
2,2,0.02,5,robust,81.66666666666667,S01
2,2,0.05,0,standard,78.8888888888889,S01
2,2,0.05,0,robust,81.66666666666667,S01
2,2,0.05,1,standard,22.777777777777775,S01
2,2,0.05,1,robust,81.66666666666667,S01
2,2,0.05,2,standard,78.8888888888889,S01
2,2,0.05,2,robust,82.22222222222223,S01
2,2,0.05,3,standard,78.8888888888889,S01
2,2,0.05,3,robust,82.22222222222221,S01
2,2,0.05,4,standard,79.44444444444446,S01
2,2,0.05,4,robust,82.22222222222223,S01
2,2,0.05,5,standard,78.8888888888889,S01
2,2,0.05,5,robust,82.22222222222223,S01
2,2,0.1,0,standard,47.22222222222222,S01
2,2,0.1,0,robust,82.77777777777779,S01
2,2,0.1,1,standard,25.555555555555554,S01
2,2,0.1,1,robust,82.22222222222221,S01
2,2,0.1,2,standard,79.44444444444446,S01
2,2,0.1,2,robust,81.66666666666667,S01
2,2,0.1,3,standard,75.55555555555556,S01
2,2,0.1,3,robust,81.66666666666667,S01
2,2,0.1,4,standard,79.44444444444446,S01
2,2,0.1,4,robust,81.66666666666667,S01
2,2,0.1,5,standard,77.77777777777779,S01
2,2,0.1,5,robust,82.22222222222223,S01
2,2,0.2,0,standard,49.44444444444446,S01
2,2,0.2,0,robust,82.77777777777779,S01
2,2,0.2,1,standard,20.0,S01
2,2,0.2,1,robust,82.77777777777779,S01
2,2,0.2,2,standard,49.44444444444444,S01
2,2,0.2,2,robust,82.22222222222223,S01
2,2,0.2,3,standard,70.55555555555556,S01
2,2,0.2,3,robust,82.77777777777779,S01
2,2,0.2,4,standard,72.22222222222223,S01
2,2,0.2,4,robust,81.11111111111111,S01
2,2,0.2,5,standard,49.44444444444444,S01
2,2,0.2,5,robust,82.22222222222223,S01
2,3,0.0,0,standard,83.33333333333334,S01
2,3,0.0,0,robust,84.44444444444446,S01
2,3,0.0,1,standard,83.33333333333334,S01
2,3,0.0,1,robust,84.44444444444446,S01
2,3,0.0,2,standard,83.33333333333334,S01
2,3,0.0,2,robust,84.44444444444446,S01
2,3,0.0,3,standard,83.33333333333334,S01
2,3,0.0,3,robust,84.44444444444446,S01
