fold,batch,frac,seed,method,acc,subject
1,2,0.0,0,standard,50.55555555555556,S02
1,2,0.0,0,robust,51.11111111111112,S02
1,2,0.0,1,standard,50.55555555555556,S02
1,2,0.0,1,robust,51.11111111111112,S02
1,2,0.0,2,standard,50.55555555555556,S02
1,2,0.0,2,robust,51.11111111111112,S02
1,2,0.0,3,standard,50.55555555555556,S02
1,2,0.0,3,robust,51.11111111111112,S02
1,2,0.0,4,standard,50.55555555555556,S02
1,2,0.0,4,robust,51.11111111111112,S02
1,2,0.0,5,standard,50.55555555555556,S02
1,2,0.0,5,robust,51.11111111111112,S02
1,2,0.02,0,standard,46.111111111111114,S02
1,2,0.02,0,robust,50.555555555555564,S02
1,2,0.02,1,standard,47.22222222222222,S02
1,2,0.02,1,robust,49.44444444444444,S02
1,2,0.02,2,standard,44.44444444444444,S02
1,2,0.02,2,robust,51.11111111111112,S02
1,2,0.02,3,standard,41.111111111111114,S02
1,2,0.02,3,robust,50.0,S02
1,2,0.02,4,standard,47.77777777777777,S02
1,2,0.02,4,robust,49.44444444444444,S02
1,2,0.02,5,standard,47.22222222222222,S02
1,2,0.02,5,robust,50.555555555555564,S02
1,2,0.05,0,standard,36.66666666666667,S02
1,2,0.05,0,robust,50.55555555555556,S02
1,2,0.05,1,standard,36.66666666666667,S02
1,2,0.05,1,robust,50.0,S02
1,2,0.05,2,standard,38.333333333333336,S02
1,2,0.05,2,robust,50.0,S02
1,2,0.05,3,standard,35.0,S02
1,2,0.05,3,robust,50.0,S02
1,2,0.05,4,standard,37.777777777777786,S02
1,2,0.05,4,robust,50.0,S02
1,2,0.05,5,standard,42.22222222222222,S02
1,2,0.05,5,robust,50.0,S02
1,2,0.1,0,standard,26.666666666666668,S02
1,2,0.1,0,robust,51.11111111111112,S02
1,2,0.1,1,standard,26.66666666666666,S02
1,2,0.1,1,robust,50.555555555555564,S02
1,2,0.1,2,standard,27.22222222222222,S02
1,2,0.1,2,robust,51.66666666666666,S02
1,2,0.1,3,standard,26.111111111111107,S02
1,2,0.1,3,robust,50.555555555555564,S02
1,2,0.1,4,standard,26.666666666666668,S02
1,2,0.1,4,robust,50.555555555555564,S02
1,2,0.1,5,standard,28.333333333333332,S02
1,2,0.1,5,robust,49.44444444444444,S02
1,2,0.2,0,standard,22.22222222222222,S02
1,2,0.2,0,robust,51.11111111111112,S02
1,2,0.2,1,standard,23.888888888888886,S02
1,2,0.2,1,robust,50.0,S02
1,2,0.2,2,standard,21.11111111111111,S02
1,2,0.2,2,robust,51.66666666666667,S02
1,2,0.2,3,standard,22.77777777777778,S02
1,2,0.2,3,robust,50.55555555555556,S02
1,2,0.2,4,standard,24.444444444444446,S02
1,2,0.2,4,robust,52.22222222222223,S02
1,2,0.2,5,standard,23.33333333333333,S02
1,2,0.2,5,robust,49.44444444444444,S02
1,3,0.0,0,standard,45.55555555555556,S02
1,3,0.0,0,robust,45.55555555555555,S02
1,3,0.0,1,standard,45.55555555555556,S02
1,3,0.0,1,robust,45.55555555555555,S02
1,3,0.0,2,standard,45.55555555555556,S02
1,3,0.0,2,robust,45.55555555555555,S02
1,3,0.0,3,standard,45.55555555555556,S02
1,3,0.0,3,robust,45.55555555555555,S02
1,3,0.0,4,standard,45.55555555555556,S02
1,3,0.0,4,robust,45.55555555555555,S02
1,3,0.0,5,standard,45.55555555555556,S02
1,3,0.0,5,robust,45.55555555555555,S02
1,3,0.02,0,standard,42.22222222222223,S02
1,3,0.02,0,robust,45.55555555555556,S02
1,3,0.02,1,standard,43.888888888888886,S02
1,3,0.02,1,robust,45.55555555555555,S02
1,3,0.02,2,standard,44.44444444444445,S02
1,3,0.02,2,robust,46.111111111111114,S02
1,3,0.02,3,standard,44.44444444444444,S02
1,3,0.02,3,robust,44.99999999999999,S02
1,3,0.02,4,standard,45.55555555555555,S02
1,3,0.02,4,robust,46.111111111111114,S02
1,3,0.02,5,standard,43.333333333333336,S02
1,3,0.02,5,robust,46.1111111111111,S02
1,3,0.05,0,standard,37.22222222222222,S02
1,3,0.05,0,robust,45.55555555555556,S02
1,3,0.05,1,standard,40.00000000000001,S02
1,3,0.05,1,robust,46.1111111111111,S02
1,3,0.05,2,standard,41.666666666666664,S02
1,3,0.05,2,robust,47.22222222222222,S02
1,3,0.05,3,standard,40.0,S02
1,3,0.05,3,robust,45.55555555555556,S02
1,3,0.05,4,standard,40.0,S02
1,3,0.05,4,robust,45.55555555555556,S02
1,3,0.05,5,standard,42.22222222222223,S02
1,3,0.05,5,robust,45.55555555555555,S02
1,3,0.1,0,standard,34.44444444444444,S02
1,3,0.1,0,robust,46.666666666666664,S02
1,3,0.1,1,standard,34.444444444444436,S02
1,3,0.1,1,robust,46.111111111111114,S02
1,3,0.1,2,standard,35.0,S02
1,3,0.1,2,robust,47.22222222222222,S02
1,3,0.1,3,standard,33.33333333333333,S02
1,3,0.1,3,robust,44.99999999999999,S02
1,3,0.1,4,standard,35.55555555555556,S02
1,3,0.1,4,robust,47.22222222222222,S02
1,3,0.1,5,standard,34.444444444444436,S02
1,3,0.1,5,robust,44.99999999999999,S02
1,3,0.2,0,standard,27.77777777777778,S02
1,3,0.2,0,robust,47.22222222222222,S02
1,3,0.2,1,standard,26.111111111111114,S02
1,3,0.2,1,robust,45.55555555555555,S02
1,3,0.2,2,standard,28.888888888888886,S02
1,3,0.2,2,robust,46.666666666666664,S02
1,3,0.2,3,standard,25.0,S02
1,3,0.2,3,robust,44.99999999999999,S02
1,3,0.2,4,standard,28.888888888888886,S02
1,3,0.2,4,robust,47.77777777777777,S02
1,3,0.2,5,standard,28.888888888888886,S02
1,3,0.2,5,robust,45.55555555555555,S02
1,4,0.0,0,standard,38.888888888888886,S02
1,4,0.0,0,robust,38.33333333333333,S02
1,4,0.0,1,standard,38.888888888888886,S02
1,4,0.0,1,robust,38.33333333333333,S02
1,4,0.0,2,standard,38.888888888888886,S02
1,4,0.0,2,robust,38.33333333333333,S02
1,4,0.0,3,standard,38.888888888888886,S02
1,4,0.0,3,robust,38.33333333333333,S02
1,4,0.0,4,standard,38.888888888888886,S02
1,4,0.0,4,robust,38.33333333333333,S02
1,4,0.0,5,standard,38.888888888888886,S02
1,4,0.0,5,robust,38.33333333333333,S02
1,4,0.02,0,standard,31.666666666666664,S02
1,4,0.02,0,robust,38.888888888888886,S02
1,4,0.02,1,standard,34.444444444444436,S02
1,4,0.02,1,robust,38.33333333333333,S02
1,4,0.02,2,standard,32.77777777777778,S02
1,4,0.02,2,robust,38.888888888888886,S02
1,4,0.02,3,standard,31.666666666666664,S02
1,4,0.02,3,robust,38.33333333333333,S02
1,4,0.02,4,standard,32.22222222222222,S02
1,4,0.02,4,robust,38.33333333333333,S02
1,4,0.02,5,standard,31.11111111111111,S02
1,4,0.02,5,robust,38.888888888888886,S02
1,4,0.05,0,standard,30.0,S02
1,4,0.05,0,robust,38.33333333333333,S02
1,4,0.05,1,standard,32.77777777777778,S02
1,4,0.05,1,robust,38.33333333333333,S02
1,4,0.05,2,standard,30.555555555555557,S02
1,4,0.05,2,robust,38.888888888888886,S02
1,4,0.05,3,standard,32.77777777777777,S02
1,4,0.05,3,robust,38.33333333333333,S02
1,4,0.05,4,standard,32.22222222222222,S02
1,4,0.05,4,robust,38.888888888888886,S02
1,4,0.05,5,standard,33.33333333333333,S02
1,4,0.05,5,robust,38.33333333333333,S02
1,4,0.1,0,standard,25.55555555555556,S02
1,4,0.1,0,robust,37.77777777777778,S02
1,4,0.1,1,standard,29.444444444444446,S02
1,4,0.1,1,robust,37.77777777777778,S02
1,4,0.1,2,standard,26.111111111111114,S02
1,4,0.1,2,robust,37.77777777777778,S02
1,4,0.1,3,standard,29.444444444444446,S02
1,4,0.1,3,robust,37.77777777777778,S02
