setting,n_accum,lr,eff_lr,mean,std
s1,32,0.01,0.32,30.0,10.11
s1,32,0.003,0.096,33.89,10.29
s1,32,0.001,0.032,72.22,6.55
s1,32,0.0003,0.0096,70.0,10.56
