setting,n_accum,lr,eff_lr,mean,std
s1,1,0.01,0.01,27.41,5.04
s1,1,0.003,0.003,57.78,6.76
s1,1,0.001,0.001,66.48,10.96
s1,1,0.0003,0.0003,71.48,9.56
