setting,n_accum,lr,eff_lr,mean,std
s1,16,0.01,0.16,32.41,10.31
s1,16,0.003,0.048,43.15,16.74
s1,16,0.001,0.016,65.37,14.07
s1,16,0.0003,0.0048,70.37,10.58
