setting,n_accum,lr,eff_lr,mean,std
s1,32,0.001,0.032,72.22,6.55
s1,8,0.001,0.008,72.04,5.89
s1,1,0.0003,0.0003,71.48,9.56
s1,4,0.0003,0.0012,70.37,9.45
s1,16,0.0003,0.0048,70.37,10.58
s1,32,0.0003,0.0096,70.0,10.56
s1,8,0.0003,0.0024,69.63,12.0
s1,1,0.001,0.001,66.48,10.96
s1,16,0.001,0.016,65.37,14.07
s1,4,0.003,0.012,63.52,3.06
s1,4,0.001,0.004,62.96,14.21
s1,1,0.003,0.003,57.78,6.76
s1,8,0.003,0.024,48.33,19.47
s1,16,0.003,0.048,43.15,16.74
s1,32,0.003,0.096,33.89,10.29
s1,4,0.01,0.04,33.52,3.78
s1,16,0.01,0.16,32.41,10.31
s1,32,0.01,0.32,30.0,10.11
s1,8,0.01,0.08,29.07,3.35
s1,1,0.01,0.01,27.41,5.04
