setting,n_accum,lr,eff_lr,mean,std
s1,4,0.01,0.04,33.52,3.78
s1,4,0.003,0.012,63.52,3.06
s1,4,0.001,0.004,62.96,14.21
s1,4,0.0003,0.0012,70.37,9.45
