setting,n_accum,lr,eff_lr,mean,std
s1,8,0.01,0.08,29.07,3.35
s1,8,0.003,0.024,48.33,19.47
s1,8,0.001,0.008,72.04,5.89
s1,8,0.0003,0.0024,69.63,12.0
