batch,no_ft_mean,no_ft_std,ft_mean,ft_std
1,72.59,8.36,72.59,8.36
2,74.63,6.32,72.22,6.55
3,77.04,9.45,66.67,1.92
4,77.96,13.77,57.96,0.85
5,65.56,10.05,46.11,9.62
