batch,no_ft_mean,no_ft_std,streaming_adabn_mean,streaming_adabn_std
1,72.59,8.36,72.59,8.36
2,74.63,6.32,86.3,2.25
3,77.04,9.45,84.07,6.19
4,77.96,13.77,89.26,4.17
5,65.56,10.05,82.04,3.7
