batch,no_ft_mean,no_ft_std,streaming_adabn_mean,streaming_adabn_std
1,62.78,17.86,62.78,17.86
2,74.26,4.21,67.04,9.45
3,71.3,4.98,74.81,1.4
4,69.26,10.32,74.44,11.4
5,73.52,7.03,77.22,10.41
