batch,no_ft_mean,no_ft_std,streaming_adabn_mean,streaming_adabn_std
1,62.96,21.35,62.96,21.35
2,59.63,22.79,70.74,5.59
3,56.67,20.4,65.37,9.47
4,55.93,26.25,61.3,8.63
5,51.48,19.76,61.11,5.3
